DIAMD_NO	STOCK_NO	PARENT_ITEM_NO_ALT	BOUNCE_USE_ITEM	FULL_TITLE	MAIN_DESC	VARIANT_DESC	SERIES_CODE	ISSUE_NO	ISSUE_SEQ_NO	VOLUME_TAG	MAX_ISSUE	PRICE	PUBLISHER	UPC_NO	SHORT_ISBN_NO	EAN_NO	CARDS_PER_PACK	PACK_PER_BOX	BOX_PER_CASE	DISCOUNT_CODE	INCREMENT	PRNT_DATE	FOC_VENDOR	SHIP_DATE	SRP	CATEGORY	GENRE	BRAND_CODE	MATURE	ADULT	OA	CAUT1	CAUT2	CAUT3	RESOL	NOTE_PRICE	ORDER_FORM_NOTES	PAGE	WRITER	ARTIST	COVER_ARTIST	COLORIST	ALLIANCE_SKU	FOC_DATE	OFFERED_DATE	NUMBER_OF_PAGES	UNIT_WEIGHT	UNIT_LENGTH	UNIT_WIDTH	UNIT_HEIGHT	CASE_WEIGHT	CASE_LENGTH	CASE_WIDTH	CASE_HEIGHT
SEP200001	STL167540			PREVIEWS #386 NOVEMBER 2020 (Net)	PREVIEWS #386 NOVEMBER 2020		15163	386	0			2.4	DIAMOND PUBLICATIONS	60325923600032011			0	0	0	J	1	10/5/2020	N	10/28/2020	3.99	14			N	N	N	0	0	0	N	N	(NOTE: Retailers ordering 20 or more will be billed at these rates: 20-39 @ $2.30 ea., 40-79 @ $2.20, 80+ @ $2.13.)	26					 	10/5/2020		480	0	0	0	0	0	0	0	0
SEP200002	STL167542			MARVEL PREVIEWS VOL 05 #5 NOVEMBER 2020 EXTRAS (Net)	MARVEL PREVIEWS VOL 05 #5 NOVEMBER 2020 EXTRAS		16776	206	0			0.75	MARVEL COMICS	75960609805700511			0	0	0	J4	1	10/5/2020	Y	10/28/2020	1.25	13	XX	XX	N	N	N	0	0	0	N	N	(NOTE: You will receive free copies of Marvel Previews in quantities equal to your Previews Order. Order additional copies with this item code.)	27					 	10/5/2020		120	0	10	6.4	0.4	0	0	0	0
SEP200003	STL167535			PREVIEWS #386 NOV 2020 CUSTOMER ORDER FORM (Net)	PREVIEWS #386 NOV 2020 CUSTOMER ORDER FORM		15165	386	0			0.15	DIAMOND PUBLICATIONS	 			0	0	0	J	1	10/5/2020	N	10/28/2020	0	14	XX	XX	N	N	N	0	0	0	N	N	(NOTE: You may order free copies of the Customer Order Form in quantities equal to your Previews Order with this item code.) SAME UPC OK FOR OF & OF EXTRAS	27					 	10/5/2020		48	0	0	0	0	0	0	0	0
SEP200004	STL167536			PREVIEWS #386 NOV 2020 CUSTOMER ORDER FORM EXTRAS (Net)	PREVIEWS #386 NOV 2020 CUSTOMER ORDER FORM EXTRAS		15166	386	0			0.3	DIAMOND PUBLICATIONS	60325923601732011			0	0	0	J	1	10/5/2020	N	10/28/2020	0	14	XX	XX	N	N	N	0	0	0	N	N	(NOTE: You may order additional copies of the Customer Order Form with this item code.)	27					 	10/5/2020		48	0	0	0	0	0	0	0	0
SEP200005	STL167538			PREVIEWS #386 NOV 2020 RET ORD FORM FREE EXTRAS (LIM 1) (Net	PREVIEWS #386 NOV 2020 RET ORD FORM FREE EXTRAS (LIM 1)		15169	386	0			0	DIAMOND PUBLICATIONS	 			0	0	0	J	1	10/5/2020	N	10/28/2020	0	14	XX	XX	N	N	N	0	0	0	N	N	(NOTE: You may order one free copy of the Retailer Order Form with this item code.)	27					 	10/5/2020		96	0	0	0	0	0	0	0	0
SEP200006	STL167539			PREVIEWS #386 NOV 2020 RETAILER ORDER FORM EXTRAS (Net)	PREVIEWS #386 NOV 2020 RETAILER ORDER FORM EXTRAS		15170	386	0			1.25	DIAMOND PUBLICATIONS	60325923603132011			0	0	0	J	1	10/5/2020	N	10/28/2020	0	14	XX	XX	N	N	N	0	0	0	N	N	(NOTE: You may order additional copies of the Retailer Order Form with this item code.)	27					 	10/5/2020		96	0	0	0	0	0	0	0	0
SEP200007	STL167537			PREVIEWS #386 NOV 2020 FAX ORDER FORM (LIMIT 1) (Net)	PREVIEWS #386 NOV 2020 FAX ORDER FORM (LIMIT 1)		15172	386	0			2	DIAMOND PUBLICATIONS	60325923604832011			0	0	0	J	1	10/5/2020	N	10/28/2020	0	14	XX	XX	N	N	N	0	0	0	N	N	(NOTE: Use this form to make faxing your order to Diamond easier! Great for overseas accounts. Cuts down on fax charges and paper. Simply transfer your order from the Order Form to this item-only form	27					 	10/5/2020		0	0	0	0	0	0	0	0	0
SEP200008	STL167533			GAME TRADE MAGAZINE #249 (Net)	GAME TRADE MAGAZINE		18545	249	1	VOL		0	DIAMOND PUBLICATIONS	 			0	0	0	J	1	10/5/2020	N	10/28/2020	0	14	GA	XX	N	N	N	0	0	0	N	N	(NOTE: You may order up to six free copies of Game Trade with this item code.)	27	na	na	na		 	10/5/2020		0	0	0	0	0	0	0	0	0
SEP200009	STL167534			GAME TRADE MAGAZINE EXTRAS #249 (Net)	GAME TRADE MAGAZINE EXTRAS		18545	249	0	VOL		0.5	DIAMOND PUBLICATIONS	60325923905632011			0	0	0	J	1	10/5/2020	N	10/28/2020	3.99	14	GA	XX	N	N	N	0	0	0	N	N	(NOTE: You may order additional copies of Game Trade with this item code.)	27	na	na	na		 	10/5/2020		0	0	0	0	0	0	0	0	0
SEP200010	STL168060			PREVIEWS HOLIDAY GIFT GUIDE 2020 (Net)	PREVIEWS HOLIDAY GIFT GUIDE 2020		0		0			0.2	DIAMOND PUBLICATIONS	 			0	0	0	J	10	10/5/2020	N	11/4/2020	1.25	14	XX	XX	N	N	N	0	0	0	N	N	(NOTE: This item can be ordered in quantities equal to your Previews order.)	28					 	10/5/2020		0	0	0	0	0	0	0	0	0
